neighbourhood_group,latitude,longitude,average_price
West Brighton,40.63182,-74.124,$89.26 
West Farms,40.84328,-73.88173,$70.00 
West Village,40.73552,-74.01042,$234.60 
Westchester Square,40.8372,-73.84345,$70.88 
Westerleigh,40.61357,-74.13566,$92.50 
Whitestone,40.79721,-73.816,$120.58 
Williamsbridge,40.88296,-73.86264,$111.89 
Williamsburg,40.70837,-73.95352,$132.45 
Willowbrook,40.59886,-74.13217,$309.00 
Windsor Terrace,40.65599,-73.97519,$129.74 
Woodhaven,40.68968,-73.85219,$71.99 
Woodlawn,40.89747,-73.8639,$99.17 
Woodrow,40.53884,-74.19826,$700.00 
Woodside,40.7459,-73.90764,$61.47 
